asset,date,exit_time,direction,entry_price,stop_price,target_price,exit_price,r_pnl,reason
NQ,2023-01-11,2023-01-11 02:05:00,LONG,11252.6875,11242.625,11301.5,11242.625,-1.0,STOP
NQ,2023-01-12,2023-01-12 08:30:00,LONG,11444.416666666666,11423.0,11550.0,11423.0,-1.0,STOP
NQ,2023-01-16,2023-01-16 03:20:00,LONG,11579.052083333334,11566.8125,11638.75,11566.8125,-1.0,STOP
NQ,2023-01-16,2023-01-16 21:25:00,SHORT,11569.239583333334,11573.1875,11551.0,11551.0,4.620052770449412,TARGET
NQ,2023-01-17,2023-01-17 21:45:00,LONG,11658.270833333334,11651.125,11692.5,11651.125,-1.0,STOP
NQ,2023-01-24,2023-01-24 16:05:00,LONG,11937.40625,11923.1875,12007.0,12007.0,4.894505494505495,TARGET
NQ,2023-01-26,2023-01-26 18:00:00,LONG,12056.322916666666,12044.6875,12113.0,12044.6875,-1.0,STOP
NQ,2023-01-30,2023-01-30 09:30:00,SHORT,12096.614583333334,12108.4375,12039.0,12108.4375,-1.0,STOP
NQ,2023-01-30,2023-01-30 22:25:00,SHORT,12001.677083333334,12010.3125,11960.0,11960.0,4.826296743064342,TARGET
NQ,2023-01-31,2023-01-31 19:15:00,LONG,12105.416666666666,12095.0,12156.0,12095.0,-1.0,STOP
NQ,2023-02-02,2023-02-02 16:05:00,LONG,12877.447916666666,12862.6875,12949.75,12862.6875,-1.0,STOP
NQ,2023-02-13,2023-02-13 09:30:00,LONG,12386.927083333334,12377.3125,12433.5,12377.3125,-1.0,STOP
NQ,2023-02-14,2023-02-14 08:40:00,LONG,12542.458333333334,12513.25,12687.0,12513.25,-1.0,STOP
NQ,2023-02-16,2023-02-16 08:10:00,LONG,12692.53125,12672.1875,12792.75,12672.1875,-1.0,STOP
NQ,2023-02-20,2023-02-20 18:05:00,SHORT,12371.239583333334,12373.4375,12361.75,12373.4375,-1.0,STOP
NQ,2023-02-22,2023-02-22 03:30:00,SHORT,12136.302083333334,12145.8125,12090.25,12090.25,4.8422782037243595,TARGET
NQ,2023-02-23,2023-02-23 08:15:00,LONG,12164.104166666666,12151.375,12226.25,12226.25,4.882160392798971,TARGET
NQ,2023-02-24,2023-02-24 08:35:00,SHORT,12075.635416666666,12086.3125,12023.75,12023.75,4.859512195121618,TARGET
NQ,2023-02-27,2023-02-27 00:25:00,LONG,12018.916666666666,12013.0,12047.0,12013.0,-1.0,STOP
NQ,2023-02-28,2023-02-28 05:35:00,SHORT,12080.708333333334,12091.25,12029.5,12091.25,-1.0,STOP
NQ,2023-02-28,2023-02-28 16:10:00,SHORT,12068.34375,12074.3125,12040.0,12040.0,4.7486910994764395,TARGET
NQ,2023-03-05,2023-03-05 21:35:00,LONG,12279.09375,12268.8125,12329.0,12329.0,4.854103343465046,TARGET
NQ,2023-03-06,2023-03-06 20:55:00,SHORT,12349.65625,12357.4375,12312.25,12357.4375,-1.0,STOP
NQ,2023-03-08,2023-03-08 05:50:00,SHORT,12187.354166666666,12197.375,12138.75,12197.375,-1.0,STOP
NQ,2023-03-10,2023-03-10 08:30:00,SHORT,12046.25,12071.5,11921.5,12071.5,-1.0,STOP
NQ,2023-03-13,2023-03-13 04:05:00,LONG,12023.1875,12008.375,12095.75,12008.375,-1.0,STOP
NQ,2023-03-15,2023-03-15 05:20:00,LONG,12320.541666666666,12309.5,12374.25,12309.5,-1.0,STOP
NQ,2023-03-16,2023-03-16 09:15:00,LONG,12363.739583333334,12343.6875,12462.5,12343.6875,-1.0,STOP
NQ,2023-03-20,2023-03-20 05:00:00,SHORT,12612.239583333334,12629.9375,12525.25,12629.9375,-1.0,STOP
NQ,2023-03-23,2023-03-23 04:15:00,SHORT,12807.541666666666,12833.75,12678.0,12833.75,-1.0,STOP
NQ,2023-03-24,2023-03-24 16:00:00,LONG,12860.46875,12853.0625,12896.0,12896.0,4.7974683544303796,TARGET
NQ,2023-03-31,2023-03-31 03:05:00,LONG,13095.5625,13086.625,13138.75,13086.625,-1.0,STOP
NQ,2023-04-02,2023-04-02 18:05:00,LONG,13259.041666666666,13248.25,13311.5,13248.25,-1.0,STOP
NQ,2023-04-03,2023-04-03 20:05:00,LONG,13246.447916666666,13239.6875,13278.75,13239.6875,-1.0,STOP
NQ,2023-04-06,2023-04-06 07:00:00,SHORT,13038.958333333334,13050.0,12985.25,13050.0,-1.0,STOP
NQ,2023-04-09,2023-04-09 18:00:00,LONG,13141.927083333334,13131.5625,13192.25,13169.5,2.6603015075374743,TIME
NQ,2023-04-11,2023-04-11 09:40:00,LONG,13129.989583333334,13113.9375,13208.75,13113.9375,-1.0,STOP
NQ,2023-04-12,2023-04-12 04:10:00,SHORT,13073.041666666666,13080.25,13038.5,13080.25,-1.0,STOP
NQ,2023-04-13,2023-04-13 02:45:00,SHORT,12989.625,13002.75,12925.5,13002.75,-1.0,STOP
NQ,2023-04-21,2023-04-21 09:20:00,SHORT,13055.84375,13066.3125,13005.0,13066.3125,-1.0,STOP
NQ,2023-04-25,2023-04-25 06:00:00,SHORT,13001.65625,13008.9375,12966.75,13008.9375,-1.0,STOP
NQ,2023-04-25,2023-04-25 16:05:00,SHORT,12854.333333333334,12865.5,12800.0,12865.5,-1.0,STOP
NQ,2023-04-27,2023-04-27 06:15:00,LONG,12982.229166666666,12975.125,13016.25,12975.125,-1.0,STOP
NQ,2023-04-27,2023-04-27 18:25:00,LONG,13216.84375,13193.3125,13333.0,13193.3125,-1.0,STOP
NQ,2023-05-01,2023-05-01 11:15:00,LONG,13290.03125,13273.6875,13370.25,13273.6875,-1.0,STOP
NQ,2023-05-03,2023-05-03 22:50:00,SHORT,13130.354166666666,13147.875,13044.25,13147.875,-1.0,STOP
NQ,2023-05-05,2023-05-05 08:35:00,LONG,13108.895833333334,13098.875,13157.5,13098.875,-1.0,STOP
NQ,2023-05-10,2023-05-10 03:40:00,SHORT,13262.958333333334,13267.25,13243.0,13243.0,4.6504854368940025,TARGET
NQ,2023-05-11,2023-05-11 08:15:00,LONG,13411.395833333334,13400.625,13463.75,13463.75,4.86073500967085,TARGET
NQ,2023-05-16,2023-05-16 08:30:00,LONG,13455.479166666666,13447.875,13492.0,13447.875,-1.0,STOP
NQ,2023-05-21,2023-05-21 19:00:00,SHORT,13834.572916666666,13842.9375,13794.25,13842.9375,-1.0,STOP
NQ,2023-05-23,2023-05-23 02:05:00,LONG,13931.635416666666,13921.8125,13979.25,13921.8125,-1.0,STOP
NQ,2023-05-24,2023-05-24 16:35:00,LONG,13693.03125,13670.9375,13802.0,13802.0,4.932107496463932,TARGET
